method,queries_evaluated,Recall@5,Recall@10,MRR,nDCG@10,context_noise,avg_retrieved_nodes,missing_predictions
c_mpnet,888,0.06482,0.083601,0.067362,0.062333,0.97663,8.434685,0
c_mpnet,888,0.084125,0.089745,0.082908,0.167637,0.983453,8.434685,0
w_mpnet,888,0.065306,0.079453,0.062746,0.060408,0.976517,8.434685,0
w_mpnet,888,0.075116,0.083739,0.077866,0.191813,0.984466,8.434685,0
c_bge,888,0.072553,0.094228,0.075318,0.071121,0.977481,8.935811,0
c_bge,888,0.09304,0.101673,0.092434,0.188015,0.983725,8.935811,0
w_bge,888,0.06844,0.090586,0.062529,0.063548,0.977368,8.935811,0
w_bge,888,0.077462,0.095855,0.084517,0.199901,0.984626,8.935811,0
c_e5,888,0.091355,0.10847,0.074511,0.07622,0.973701,8.709459,0
c_e5,888,0.109237,0.115678,0.087864,0.200767,0.980614,8.709459,0
w_e5,888,0.075041,0.106155,0.062879,0.068844,0.973476,8.709459,0
w_e5,888,0.089999,0.10939,0.079622,0.221462,0.981628,8.709459,0
